Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
1,2,2,56,7,16,2,224,224,224,0,0.871734
2,7,8,2,28,1,16,224,224,224,0,0.871686
3,1,98,2,32,8,1,224,224,224,0,0.481061
3,32,7,7,8,4,1,224,224,224,0,0.853557
1,8,1,49,16,2,4,224,224,224,0,0.48502
2,2,4,14,14,4,8,224,224,224,0,0.871262
3,28,2,1,2,16,28,224,224,224,0,0.871401
2,8,7,7,1,2,64,224,224,224,0,0.871596
3,1,8,28,28,4,2,224,224,224,0,0.484619
2,2,2,28,8,7,8,224,224,224,0,0.483271
1,112,1,7,1,64,1,224,224,224,0,0.871478
1,1,49,8,4,4,8,224,224,224,0,0.871326
1,1,56,1,28,16,2,224,224,224,0,0.872024
2,1,8,28,8,14,2,224,224,224,0,0.871184
1,1,2,392,8,8,1,224,224,224,0,0.871
1,14,14,1,8,2,16,224,224,224,0,0.839518
2,14,1,14,128,2,1,224,224,224,0,0.853509
3,8,4,7,56,4,1,224,224,224,0,0.871445
3,14,4,4,14,1,16,224,224,224,0,0.915553
2,2,7,4,4,112,2,224,224,224,0,0.871425
0,1,4,56,1,4,56,224,224,224,0,0.8722
1,8,196,1,2,16,1,224,224,224,0,0.871964
1,2,98,1,4,64,1,224,224,224,0,0.871516
2,1,224,1,8,2,14,224,224,224,0,0.871714
3,8,98,2,4,1,8,224,224,224,0,0.87154
2,98,2,2,1,64,2,224,224,224,0,0.871915
1,2,14,2,16,4,14,224,224,224,0,0.853713
0,1,112,14,8,1,4,224,224,224,0,0.871014
2,7,14,16,2,16,1,224,224,224,0,0.872265
2,56,1,1,56,16,1,224,224,224,0,0.871475
1,112,1,2,8,28,1,224,224,224,0,0.870772
1,392,2,1,8,8,1,224,224,224,0,0.871439
2,2,16,49,2,1,16,224,224,224,0,0.851406
2,7,32,1,8,4,7,224,224,224,0,0.839547
3,2,392,1,8,1,8,224,224,224,0,0.915736
0,8,2,14,56,4,1,224,224,224,0,0.871869
3,2,1,98,8,2,16,224,224,224,0,0.871104
2,1,1,1568,8,2,2,224,224,224,0,0.871621
1,4,2,28,2,8,14,224,224,224,0,0.87142
1,2,56,2,7,16,2,224,224,224,0,0.38476
1,8,7,28,8,2,2,224,224,224,0,0.871781
2,98,2,2,2,8,8,224,224,224,0,0.88000
1,7,14,16,4,2,4,224,224,224,0,0.870712
2,14,8,1,28,4,4,224,224,224,0,0.871328
1,1,1,98,256,2,1,224,224,224,0,0.871546
1,1,28,14,2,32,2,224,224,224,0,0.853199
2,49,1,8,4,2,16,224,224,224,0,0.871613
1,56,14,1,16,1,4,224,224,224,0,0.871314
2,14,4,2,1,448,1,224,224,224,0,0.915484
0,1,14,16,14,8,2,224,224,224,0,0.871498
2,1,28,2,112,2,4,224,224,224,0,0.478439
3,7,1,8,56,16,1,224,224,224,0,0.871541
0,4,14,7,2,4,16,224,224,224,0,0.853649
2,8,7,14,2,2,16,224,224,224,0,0.853502
1,4,28,2,14,1,16,224,224,224,0,0.469806
1,7,7,1,128,8,1,224,224,224,0,0.871014
