Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
1,400,1,1,2,2,64,320,320,320,0,0.949648
1,10,40,4,4,8,2,320,320,320,0,0.979705
1,40,20,2,1,64,1,320,320,320,0,0.976704
1,4,10,16,160,1,1,320,320,320,0,0.941372
0,1,100,2,1,64,8,320,320,320,0,0.909776
3,16,100,1,8,8,1,320,320,320,0,0.733017
2,25,4,4,4,8,8,320,320,320,0,0.486421
1,16,8,5,20,8,1,320,320,320,0,0.900675
1,1,10,10,4,16,16,320,320,320,0,0.90718
1,5,32,1,4,16,10,320,320,320,0,0.89434
1,2,16,10,1,20,16,320,320,320,0,0.940837
1,2,2,40,16,40,1,320,320,320,0,0.928565
1,2,100,1,8,4,16,320,320,320,0,0.924426
1,1,80,20,1,2,32,320,320,320,0,0.93908
3,20,4,8,8,1,20,320,320,320,0,0.9773
0,1,50,64,2,8,2,320,320,320,0,0.913391
2,10,8,2,320,1,2,320,320,320,0,0.901305
1,16,5,2,8,40,2,320,320,320,0,0.929518
1,4,80,1,4,5,16,320,320,320,0,0.8954
2,40,4,2,2,4,40,320,320,320,0,0.910984
1,8,20,4,40,2,2,320,320,320,0,0.928237
1,2,64,1,25,2,16,320,320,320,0,0.913554
1,20,2,20,16,8,1,320,320,320,0,0.906861
1,4,8,20,2,40,2,320,320,320,0,0.931404
1,2,25,4,8,8,8,320,320,320,0,0.856705
3,1,1,1600,4,4,4,320,320,320,0,0.9188
1,20,2,10,128,2,1,320,320,320,0,0.968985
0,2,40,8,8,4,5,320,320,320,0,0.959842
1,2,16,4,1,50,16,320,320,320,0,0.947637
1,16,2,5,20,4,8,320,320,320,0,0.940074
1,4,2,20,64,10,1,320,320,320,0,0.487597
1,5,1,64,320,1,1,320,320,320,0,0.950932
1,1,1,400,256,1,1,320,320,320,0,0.486717
1,4,100,4,1,16,4,320,320,320,0,0.924226
1,400,4,2,8,2,2,320,320,320,0,0.930357
1,20,2,8,80,2,2,320,320,320,0,0.929329
1,2,10,20,4,4,16,320,320,320,0,0.938882
1,2,40,5,16,2,8,320,320,320,0,0.491267
1,8,16,25,1,1,32,320,320,320,0,0.944497
1,1,5,20,1,32,32,320,320,320,0,0.85383
3,5,1,128,5,16,2,320,320,320,0,0.763373
0,2,80,20,8,1,4,320,320,320,0,0.931469
1,1,1,3200,2,1,16,320,320,320,0,0.928816
1,16,5,20,2,16,2,320,320,320,0,0.389029
1,4,160,5,2,8,2,320,320,320,0,0.961876
1,4,20,20,16,4,1,320,320,320,0,0.895192
1,10,1,64,1,5,32,320,320,320,0,0.925308
1,2,320,1,8,4,5,320,320,320,0,0.937215
1,2,1,100,4,8,16,320,320,320,0,0.
1,20,5,2,8,8,8,320,320,320,0,0.908135
1,8,1,20,64,2,5,320,320,320,0,0.902019
1,16,2,20,1,16,10,320,320,320,0,0.89657
1,25,2,4,4,64,2,320,320,320,0,0.491794
1,4,80,1,20,8,2,320,320,320,0,0.763347
2,5,16,2,16,2,20,320,320,320,0,0.950118
2,10,2,80,4,8,2,320,320,320,0,0.98569
1,16,25,4,4,4,4,320,320,320,0,0.763385
1,40,2,20,1,32,2,320,320,320,0,0.984061
1,10,1,10,32,4,8,320,320,320,0,0.900108
1,1,4,25,32,1,32,320,320,320,0,0.897952
1,5,2,80,64,1,2,320,320,320,0,0.920927
1,16,2,10,2,80,2,320,320,320,0,0.942958
3,2,64,1,2,25,16,320,320,320,0,0.899312
1,8,10,40,2,16,1,320,320,320,0,0.818499
1,4,80,1,16,5,4,320,320,320,0,0.977743
1,1,5,64,8,1,40,320,320,320,0,0.98538
1,2,32,5,20,1,16,320,320,320,0,0.899299
1,8,10,8,1,80,2,320,320,320,0,0.955865
1,5,5,64,8,4,2,320,320,320,0,0.900117
1,10,16,1,1,16,40,320,320,320,0,0.763226
1,2,800,1,4,2,8,320,320,320,0,0.497183
1,16,50,1,2,32,2,320,320,320,0,0.978315
1,5,5,4,4,256,1,320,320,320,0,0.894034
1,4,10,4,1,20,32,320,320,320,0,0.492451
1,64,1,10,1,20,8,320,320,320,0,0.929238
1,16,2,50,8,4,2,320,320,320,0,0.89825
1,5,2,64,16,5,2,320,320,320,0,0.95904
